ID	display	actualDiff	model	Reward	level	desc	enemyStrength_Damage	enemyStrength_Health	doubleBoss	enemyStrength_Damage_Totem	enemyStrength_Health_Totem	totemEnemyBuff	isBoss	starReward1	starReward2	starReward3	channel
int	int	int	int	RewardArray	int	string[]	int	int	int	int[]	int[]	BuffExcelList	int	DropArray	DropArray	DropArray	int[]
ID																	
0	0	0	0		-1	EFFECT_NO_MODIFIERS	0	0	0	0	0		0				0,1,2,3,4,5,6,7,8,9
1	1	1	0		-1	EFFECT_NEW_ENEMIES	0	0	0	0	0		0				0,1,2,3,4,5,6,7,8,9
2	2	2	0		-1	EFFECT_NEW_ENEMIES,EFFECT_ELITES	0	0	0	0	0		0				0,1,2,3,4,5,6,7,8,9
3	3	3	0		-1	EFFECT_NEW_ENEMIES,EFFECT_ELITES,EFFECT_STRONGER_ENEMIES	12	12	0	12	12		0				0,1,2,3,4,5,6,7,8,9
4	4	4	0		-1	EFFECT_NEW_ENEMIES,EFFECT_ELITES,EFFECT_STRONGER_ENEMIES,EFFECT_MORE_ELITES	26	26	0	26	26		0				0,1,2,3,4,5,6,7,8,9
5	5	5	0		-1	EFFECT_ELITES,EFFECT_STRONGER_ENEMIES,EFFECT_MORE_ELITES,EFFECT_DOUBLE_BOSS	40	40	1	40	40		0				0,1,2,3,4,5,6,7,8,9
6	6	6	0		-1	EFFECT_ELITES,EFFECT_STRONGER_ENEMIES,EFFECT_MORE_ELITES,EFFECT_DOUBLE_BOSS	60	60	1	60	60		0				4,5,9
7	7	7	0		-1	EFFECT_ELITES,EFFECT_STRONGER_ENEMIES,EFFECT_MORE_ELITES,EFFECT_DOUBLE_BOSS	85	85	1	85	85		0				4,5,9
8	8	8	0		-1	EFFECT_ELITES,EFFECT_STRONGER_ENEMIES,EFFECT_MORE_ELITES,EFFECT_DOUBLE_BOSS	115	115	1	115	115		0				4,5,9
9	9	9	0		-1	EFFECT_ELITES,EFFECT_STRONGER_ENEMIES,EFFECT_MORE_ELITES,EFFECT_DOUBLE_BOSS	155	155	1	155	155		0				4,5,9
10000	0	0	1	60001,1|60002,1|63001,1#68002,5	100		10	20	0	-100	0	2013,10#101201,100	0	60001,1	60002,1	63001,1#68002,5	0,1,2,3,4,5,6,7,8,9
10001	1	0	1	60001,1|60002,1|63001,1#68002,5	101		20	40	0	0	0	2013,10#101201,100	0	60001,1	60002,1	63001,1#68002,5	0,1,2,3,4,5,6,7,8,9
10002	2	0	1	60001,1|60002,1|63002,1#68002,5	102		40	80	0	0	0	2013,10#101201,100	0	60001,1	60002,1	63002,1#68002,5	0,1,2,3,4,5,6,7,8,9
10003	3	0	1	60001,1|60002,1|63002,1#68002,5	103		80	160	0	0	0	2013,10#101201,100	0	60001,1	60002,1	63002,1#68002,5	0,1,2,3,4,5,6,7,8,9
10004	4	0	1	60001,1|60002,1|63003,1#68002,5	104		100	200	0	0	0	2013,10#101201,100	0	60001,1	60002,1	63003,1#68002,5	0,1,2,3,4,5,6,7,8,9
10005	5	1	1	60001,2|60002,1#68002,20|63003,1#68003,1	105		120	240	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	1	60001,2	60002,1#68002,20	63003,1#68003,1	0,1,2,3,4,5,6,7,8,9
10006	6	1	1	60001,2|60002,1|63003,1#68002,10	106		140	1170	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,2	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10007	7	1	1	60001,2|60002,1|63003,1#68002,10	107		234	1400	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,2	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10008	8	1	1	60001,2|60002,1|63003,1#68002,10	108		280	1650	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,2	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10009	9	1	1	60001,2|60002,1|63003,1#68002,10	109		330	1880	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,2	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10010	10	1	1	60001,3|60002,1#68002,20|63003,1#68003,1	110		376	2120	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	1	60001,3	60002,1#68002,20	63003,1#68003,1	0,1,2,3,4,5,6,7,8,9
10011	11	1	1	60001,3|60002,1|63003,1#68002,10	111		424	3150	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,3	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10012	12	1	1	60001,3|60002,1|63003,1#68002,10	112		630	3500	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,3	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10013	13	1	1	60001,3|60002,1|63003,1#68002,10	113		700	3850	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,3	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10014	14	1	1	60001,3|60002,1|63003,1#68002,10	114		770	4200	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,3	60002,1	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10015	15	1	1	60001,4|60002,2#68002,20|63003,1#68003,1	115		840	4650	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	1	60001,4	60002,2#68002,20	63003,1#68003,1	0,1,2,3,4,5,6,7,8,9
10016	16	1	1	60001,4|60002,2|63003,1#68002,10	116		930	8000	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,4	60002,2	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10017	17	1	1	60001,4|60002,2|63003,1#68002,10	117		1600	8600	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,4	60002,2	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10018	18	1	1	60001,4|60002,2|63003,1#68002,10	118		1720	9200	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,4	60002,2	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
10019	19	1	1	60001,4|60002,2|63003,1#68002,10	119		1840	9800	0	50,100,1000,10000	100,500,1000,100000000	2013,10#101201,100	0	60001,4	60002,2	63003,1#68002,10	0,1,2,3,4,5,6,7,8,9
