ID	name	desc	res	type	content	param
int	LocalStr	string	string	int	OddsArray	int
编号						
60001	GAME_MONEY_SPUDS	每日土豆币	goods_61001	0		0
60002	AD_MONEY_TEXT	广告券	goods_61101	7		0
60003	AD_MONEY_TEXT	活跃度	goods_61101	6		0
61001	GAME_MONEY_SPUDS	广告随机礼包	goods_61001	11	60001,4	0
61100	AD_MONEY_TEXT	广告券随机礼包	goods_box	13	61101,20#61102,20#61103,20#61104,20#61105,20	0
61101	AD_MONEY_TEXT	100广告券礼包	goods_61101	11	60002,100	0
61102	AD_MONEY_TEXT	200广告券礼包	goods_61102	11	60002,200	0
61103	AD_MONEY_TEXT	300广告券礼包	goods_61103	11	60002,300	0
61104	AD_MONEY_TEXT	400广告券礼包	goods_61104	11	60002,400	0
61105	AD_MONEY_TEXT	500广告券礼包	goods_61105	11	60002,500	0
62001		未拥有英雄	goods_62001	14		0
62002	MALL_GIFT_PACKAGE_3_HERO	未拥有英雄礼包3	goods_62002	11	62001,3	0
62003	MALL_GIFT_PACKAGE_5_HERO	未拥有英雄礼包5	goods_62003	11	62001,5	0
63001	MALL_RANDOM_TALENT_GREEN	绿色天赋卡	goods_63001	8	1,0	0
63002	MALL_RANDOM_TALENT_BLUE	蓝色天赋卡	goods_63002	8	2,0	0
63003	MALL_RANDOM_TALENT_PURPLE	紫色天赋卡	goods_63003	8	3,0	0
63004	MALL_RANDOM_TALENT_RED	红色天赋卡	goods_63004	8	4,0	0
64000	MAILL_GIFT_NEWBIE	新手礼包	goods_box_1	11	60001,500#63001,1#63002,1#63003,1	-1
64001	MAILL_GIFT_DIFF_0	难度礼包0	goods_box_1	11	60001,500#63001,2#63002,1	0
64002	MAILL_GIFT_DIFF_1	难度礼包1	goods_box_2	11	60001,700#63001,3#63002,2	1
64003	MAILL_GIFT_DIFF_2	难度礼包2	goods_box_3	11	60001,800#63002,2#63003,1	2
64004	MAILL_GIFT_DIFF_3	难度礼包3	goods_box_4	11	60001,1000#63002,3#63003,2	3
64005	MAILL_GIFT_DIFF_4	难度礼包4	goods_box_5	11	60001,1200#63001,3#63002,3#63003,2	4
64006	MAILL_GIFT_DIFF_5	难度礼包5	goods_box_6	11	60001,1500#63002,3#63003,3#63004,1	5
64010	GAME_GIFT_DAILY	每日礼包1，免费的	goods_box_1	11	60001,1	0
64011	GAME_GIFT_DAILY	每日礼包2	goods_box_1	11	60001,100#60002,30#68002,10	0
64012	GAME_GIFT_DAILY	每日礼包3	goods_box_1	11	60001,600#60002,200#68002,100	0
64013	GAME_GIFT_WEEKLY	每周礼包1	goods_box_1	11	60001,1	0
64014	GAME_GIFT_WEEKLY	每周礼包2	goods_box_1	11	60001,1200#60002,400#68002,100	0
64015	GAME_GIFT_WEEKLY	每周礼包3	goods_box_1	11	60001,2000#60002,700#68002,300	0
64016	GAME_GIFT_MONTHLY	每月礼包1	goods_box_1	11	60001,2#60002,1	0
64017	GAME_GIFT_MONTHLY	每月礼包2	goods_box_1	11	60001,2600#60002,900#68002,300	0
64018	GAME_GIFT_MONTHLY	每月礼包3	goods_box_1	11	60001,4000#60002,1500#68002,800	0
65001	GAME_MONEY_SPUDS	广告土豆币	goods_61001	11	60001,3	0
65002	GAME_MONEY_SPUDS	土豆币1	goods_61001	11	60001,30	0
65003	GAME_MONEY_SPUDS	土豆币2	goods_61001	11	60001,170	0
65004	GAME_MONEY_SPUDS	土豆币3	goods_61001	11	60001,380	0
65005	GAME_MONEY_SPUDS	土豆币4	goods_61001	11	60001,900	0
65006	GAME_MONEY_SPUDS	土豆币5	goods_61001	11	60001,2650	0
65007	GAME_MONEY_SPUDS	土豆币_SS推广	goods_61001	11	60001,20	0
66001	VIP	周卡VIP	vip_item_icon	9	4020,1#2113,1#2114,1#2127,1#2060,1,39000	0
66002	VIP	VIP每日土豆币	goods_61001	11	60001,10	0
66003	TALENT_CARD_DESC	天赋随机礼包	goods_box	13	63001,60#63002,39#63003,1	0
67001		大壮		1	10005,30,1	0
67002		老叟		1	10006,30,1	0
67003		幸运星		1	10007,60,1	0
67004		异变体		1	10008,60,1	0
67005		博学家		1	10009,90,1	0
67006		大嗓门		1	10010,90,1	0
67007		多面手		1	10011,90,1	0
67008		野人		1	10012,120,1	0
67009		和平主义者		1	10013,120,1	0
67010		角斗士		1	10014,120,1	0
67011		农夫		1	10017,150,1	0
67012		幽灵		1	10018,150,1	0
67013		飞毛腿		1	10019,150,1	0
67014		工程师		1	10020,150,1	0
67015		工程师		1	10021,150,1	0
67016		探险家		1	10022,150,1	0
67017		医生		1	10023,150,1	0
67020		猎人		1	10024,150,1	0
67021		技工		1	10025,150,1	0
67022		军火商		1	10026,150,1	0
67023		网络主播		1	10027,150,1	0
67024		独臂		1	10028,150,1	0
67025		公牛		1	10029,150,1	0
67026		士兵		1	10030,150,1	0
67027		受虐狂		1	10031,150,1	0
67028		骑士		1	10032,150,1	0
67029		恶魔		1	10033,150,1	0
67030		Cyborg		1	10034,300,1	0
67031		Glutton		1	10035,300,1	0
67032		Jack		1	10036,300,1	0
67033		Lich		1	10037,500,1	0
67034		学徒		1	10038,500,1	0
67035		神秘生物		1	10039,500,1	0
67036		渔夫		1	10040,500,1	0
67037		魔像		1	10041,500,1	0
67018		病人		1	10016,150,0	0
67019		节俭者		1	10015,150,0	0
69001	限时礼包	限时礼包	goods_box	11	60002,20#60001,100#66003,2	0
68001	成长基金	成长基金		15		0
68002	TOTEM_EXP	薯条	goods_68002	100		0
68003	TOTEM_SPECIAL	薯饼	goods_68003	100		0
68004	TOTEM_EXP	薯条礼包	goods_68002	11	68002,50	0
68005	TOTEM_SPECIAL	薯饼礼包	goods_68003	11	68003,1	0
68007	TOTEM_EXP	薯条礼包	goods_68002	11	68002,100	0
68008	TOTEM_SPECIAL	薯饼礼包	goods_68003	11	68003,5	0
68009	TOTEM_EXP	薯条礼包	goods_68002	11	68002,200	0
68010	TOTEM_SPECIAL	薯饼礼包	goods_68003	11	68003,10	0
68006	TOTEM_EXP	薯条随机礼包	goods_68002	12	68002,6,10	0
68100	TOTEM_MALL_GIFT_NEWBEE	新手图腾礼包	goods_box_1	11	68002,200	-1
