ID	spawnChance	spawnTiming	repeating	repeatInterval	reduceRepeatInterval	minRepeatInterval	area	spawnDist	spawnEdge	monsterId	monsterMin	monsterMax	monsterChance	isNeutral	type	isHorde	minDifficulty	minWave	maxWave	endless
int	float	int	int	int	int	int	int	int	bool	int	int	int	float	bool	int	bool	int	int	int	bool
等级																				
101	1	1	999	3	0	1	-1	0	0	40001	1	3	1	0	0	0	0	0	99	0
201	1	1	999	2	0	1	-1	0	0	40002	10	15	1	0	0	0	0	0	99	0
202	1	1	999	3	0	1	-1	0	0	40001	10	15	1	0	0	0	0	0	99	0
301	1	1	999	2	0	1	-1	0	1	40001	10	15	1	0	0	0	0	0	99	0
302	1	1	999	2	1	3	200	0	0	40002	10	15	1	0	0	0	0	0	99	0
303	1	1	999	6	1	3	200	0	0	40004	5	10	1	0	0	0	0	0	99	0
401	1	1	999	3	0	1	-1	0	0	40002	10	20	1	0	0	0	0	0	99	0
402	1	1	999	3	0	1	300	0	0	40001	10	20	1	0	0	0	0	0	99	0
403	1	1	999	5	1	3	200	0	0	40004	3	10	1	0	0	0	0	0	99	0
404	1	15	0	0	0	1	-1	0	0	40027	1	1	1	0	2	0	0	0	99	0
