ID	OnlyID	Adventure	FreeReward	HighReward
int	int	int	DropArray	DropArray
ID				
1	1	0	60001,1	60001,30
2	2	1	60001,1	60001,30
3	3	2	60001,2	60001,30
4	4	3	60001,2	60001,30
5	5	4	60001,2	60001,30
6	6	5	60001,2	60001,50#60002,10
7	7	6	60001,2	60001,50
8	8	7	60001,2	60001,50
9	9	8	60001,3	60001,50
10	10	9	60001,3	60001,50
11	11	10	60001,3	60001,70#60002,15
12	12	11	60001,3	60001,70
13	13	12	60001,3	60001,70
14	14	13	60001,3	60001,70
15	15	14	60001,4	60001,70
16	16	15	60001,4	60001,90#60002,20
17	17	16	60001,4	60001,90
18	18	17	60001,4	60001,90
19	19	18	60001,5	60001,90
20	20	19	60001,5	60001,90
21	21	20	60001,5	60001,110#60002,25
22	22	21	60001,5	60001,110
23	23	22	60001,6	60001,110
24	24	23	60001,6	60001,110
25	25	24	60001,7	60001,110
26	26	25	60001,8	60001,130#60002,30
