ID	weapons	RecWeapon	RecAttr	unlock	wantedTags	revive_buffs	vip_revive_buffs	no_item_limits	item_limits	Order
int	int[]	int[]	int[]	int	string[]	BuffExcelList	BuffExcelList	int	OddsArray	int
等级:ItemInfoData										
10000	20111,20221,20001,20071,26091,26151,26011,26171,26181	26151,26152,26153,26154	5,0,7	0		4002,30#4009,20#4011,10#4010,20	40011,200	10003	30081,10000#30096,10000#30121,10000#30125,10000#30072,10000#30096,10000#30038,10001#30068,10001#30014,10001#30006,10001#30001,10001#30089,10001#30014,10001#30062,10001#30106,10001#30099,10001#30161,10001#30019,10002#30071,10002#30059,10002#30070,10002#30113,10002#30128,10002#30053,10002#30067,10002#30098,10002#26151,10000#26152,10000#26153,10000#26154,10000	1
10001	20041,20091,26251	20041,20042,20043,20044	4,0,12	0	stat_melee_damage	4002,30#4009,20#4011,10#4010,20	40011,200	10003	30020,10000#30035,10000#30036,10000#30048,10000#30066,10000#30072,10000#30083,10000#30168,10000#30006,10001#30028,10001#30030,10001#30062,10001#30089,10001#30099,10001#30161,10001#30151,10001#30050,10001#30021,10002#30061,10002#30079,10002#30101,10002#20041,10000#20042,10000#20043,10000#20044,10000	2
10002	20111,20031,20181,20131,26251,26131	20111,20112,20113,20114	4,0,8	0	stat_crit_chance,stat_melee_damage	4002,30#4009,20#4011,10#4010,20	40011,200	10003	30020,10000#30035,10000#30036,10000#30048,10000#30066,10000#30072,10000#30083,10000#30168,10000#30001,10001#30006,10001#30028,10001#30030,10001#30048,10001#30062,10001#30083,1000130089,10001#30099,10001#30161,10001#30050,10001#30021,10002#30036,10002#30052,10002#30076,10002#30131,10002#30162,10002#20111,10000#20112,10000#20113,10000#20114,10000	3
10003	26091,26151,26203,26041,26121,26001	26151,26152,26153,26154	5,0,7	0	stat_ranged_damage,stat_range	4002,30#4009,20#4011,10#4010,20	40011,200	10003	30081,10000#30096,10000#30121,10000#30125,10000#30072,10000#30096,10000#30038,10001#30068,10001#30014,10001#30006,10001#30001,10001#30089,10001#30014,10001#30062,10001#30106,10001#30099,10001#30161,10001#30019,10002#30071,10002#30059,10002#30070,10002#30113,10002#30128,10002#30053,10002#30067,10002#30098,10002#26151,10000#26152,10000#26153,10000#26154,10000	4
10004	26181,20251,20141,26171,20131,26151,26011	26181,26182,26183,26184	6,0,3	0	stat_elemental_damage	4002,30#4009,20#4011,10#4010,20	40011,200	10003	30024,10000#30031,10000#30035,10000#30052,10000#30060,10000#30096,10000#30136,10000#30001,10001#30006,10001#30028,10001#30030,10001#30048,10001#30062,10001#30083,10001#30089,10001#30099,10001#30161,10001#30050,10001#30164,10002#30046,10002#30062,10002#30070,10002#30075,10002#30088,10002#30089,10002#30093,10002#30116,10002#26181,10000#26182,10000#26183,10000#26184,10000	5
10005	20041,20091,20001,20171,20221,20251,20141,20011,26199,20211,26011,26031,26121	20221,20222,20223,20224	4,0,3	0	stat_max_hp,stat_luck			0		6
10006	20181,20191,20261,20171,20141,20011,26199,26011,26171,26181	20181,20182,20183,20184	4,0,8	0	less_enemies,less_enemy_speed			0		7
10007	20221,20171,20041,20011,20141,20191,26141,26181	20221,20222,20223,20224	4,0,14	0	stat_luck,pickup,exploration			0		8
