ID	name	desc	type	icon	tier	skills	buffs	unique	isClose	res	Price	RecyclePrice	size	scale	birthEff	deathEff	ai	mass	pushAtten	layer	Unlock	DrawingRewards	AdventureDiff	AdventureHero
int	LocalStr	LocalStr	int	string	int	int[]	BuffExcelList	bool	bool	string	int	int	float	float	string	string	int	float	float	int	int	DropArray	int	int[]
ID																								
40001			4	40001	0	50000					0	0	0.16				1	1	0.6	0	0		0	
40002			4	40002	0	50000					0	0	0.16				1	1	0.6	0	0		0	
40003			4	40003	0	50000					0	0	0.22				2	1	0.6	0	0		0	
40004			4	40004	0	50000					0	0	0.25				3	1	0.6	0	0		0	
40005			4	40005	0	50000					0	0	0.26				4	1	0.6	0	0		0	
40006			4	40006	0	50000					0	0	0.27				5	1	0.6	0	0		0	
40007			4	40007	0	50000					0	0	0.22				6	1	0.6	0	0		0	
40008			4	40008	0	50000					0	0	0.14				7	1	0.6	0	0		0	
40009			4	40009	0	50000,50026					0	0	0.18				8	1	0.6	0	0		0	
40010			4	40010	0	50000,60012					0	0	0.4				1001	1	0.6	0	0		0	
40011			4	40011	0	50000					0	0	0.4				1002	1	0.6	0	0		0	
40012			4	40012	0	50000					0	0	0.2				9	1	0.6	0	0		0	
40013			4	40013	0	50000					0	0	0.21				10	1	0.6	0	0		0	
40014			4	40014	0	50000					0	0	0.21				1	1	0.6	0	0		0	
40015			4	40015	0	50000					0	0	0.16				1	1	0.6	0	0		0	
40016			4	40016	0	50000,50030					0	0	0.34				11	1	0.6	0	0		0	
40017			4	40017	0	50000					0	0	0.2				12	1	0.6	2	0		0	
40018			4	40018	0	50000					0	0	0.27				13	1	0.6	0	0		0	
40019			4	40019	0	50000					0	0	0.25				14	1	0.6	0	0		0	
40020			4	40020	0	50000					0	0	0.4				1003	1	0.6	0	0		0	
40021			4	40021	0	50000					0	0	0.4				1004	1	0.6	0	0		0	
40022			4	40022	0	50000					0	0	0.4				1005	1	0.6	0	0		0	
40023			4	40023	0	50000,50031					0	0	0.18				8	1	0.6	0	0		0	
40024			4	40024	0	50000					0	0	0.31				16	1	0.6	0	0		0	
40025			4	40025	0	50000					0	0	0.21				15	1	0.6	0	0		0	
40026			4	tree1	0					tree1	0	0	0.48		Birth_green		0	-1	1	2	2		0	
40027			4	40010	0	50000					0	0	0.4				1	1	0.6	0	0		0	
40028			4	40027	0	50000					0	0	0.29				17	1	0.6	0	0		0	
40029			4	40110	0	50000,60012					0	0	0.4				1001	1	0.6	0	0		0	
40030			4	40111	0	50000					0	0	0.4				1002	1	0.6	0	0		0	
40031			4	40110	0	50000,60012					0	0	0.4				1001	1	0.6	0	0		0	
40032			4	40111	0	50000					0	0	0.4				1002	1	0.6	0	0		0	
40033			4	40110	0	50000,60012					0	0	0.4				1001	1	0.6	0	0		0	
40034			4	40111	0	50000					0	0	0.4				1002	1	0.6	0	0		0	
40035			4	40110	0	50000,60012					0	0	0.4				1001	1	0.6	0	0		0	
40036			4	40111	0	50000					0	0	0.4				1002	1	0.6	0	0		0	
40037			4	40110	0	50000,60012					0	0	0.4				1001	1	0.6	0	0		0	
40038			4	40111	0	50000					0	0	0.4				1002	1	0.6	0	0		0	
40039			4	40039	0	50000					0	0	0.4				1006	1	0.6	0	0		0	
40040			4	40040	0	50000					0	0	0.4				1007	1	0.6	0	0		0	
40041			4	40041	0	50000					0	0	0.4				1008	1	0.6	0	0		0	
40042			4	40042	0	50000					0	0	0.4				1009	1	0.6	0	0		0	
40043			4	40043	0	50000					0	0	0.4				1010	1	0.6	0	0		0	
