ID	keys	en	fr	zh	ja	ko	zh_TW	ru	pl	es	pt	de	tr	it	th	vn
int	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string	string
ID																
1	LANGUAGE_EN	English	English	English	English	English	English	English	English	English	English	English	English	English	English	English
2	LANGUAGE_FR	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français	Français
3	LANGUAGE_ZH	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文	中文
4	LANGUAGE_JA	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語	日本語
5	LANGUAGE_KO	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어	한국어
6	LANGUAGE_ZH_TW	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文	繁体中文
7	LANGUAGE_RU	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык	Русский язык
8	LANGUAGE_PL	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski	Polski
9	LANGUAGE_ES	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español	Español
10	LANGUAGE_PT	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português	Português
11	LANGUAGE_DE	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch	Deutsch
12	LANGUAGE_TR	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk	Türk
13	LANGUAGE_IT	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano	Italiano
14	LANGUAGE_TH	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย	ภาษาไทย
15	LANGUAGE_VN	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt	Tiếng Việt
