ID	hp	hpWaveAdd	speed	speedRandom	demage	demageWaveAdd	armor	armorWaveAdd	attackCoooldown	Value	Knockback	goldSpread	canDropConsumables	dropAlways	baseDropChance	itemDropChance	minTier	maxTier	showHp	type	avatarScale	avatarOffset
int	int	float	int	float	int	float	int	float	int	int	float	int	bool	bool	float	float	int	int	bool	int	float	float[]
id:ItemInfoData																						
40001	3	2	250	50	1	0.6	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40002	1	1	380	0	1	0.6	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40003	8	1	200	0	1	0.6	0	0	30	1	1	0	1	0	0.03	0.1	1	1		0	0.7	0, 0.5
40004	4	2.5	400	0	1	0.85	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40005	10	24	150	0	1	1.2	0	0	30	3	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40006	20	11	300	0	2	0.85	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40007	20	3	150	0	1	0.3	0	0	30	2	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40008	15	4	350	25	1	0.85	0	0	30	1	0	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40009	15	13	0	0	1	1.1	0	0	30	0	1	0	0	0	0	0	1	1		0	0.7	0, 0.5
40010	28000	100	300	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	1.4	0, 0.5
40011	28000	100	200	0	1	1.5	0	0	30	1	1	0	1	1	1	1	1	1	1	1	0.7	0, 0.8
40012	10	8	400	0	1	0.85	0	0	30	2	0	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.5
40013	50	25	350	50	1	0.85	0	0	30	8	0	0	1	1	1	1	1	1		0	0.7	0, 0.5
40014	8	3	250	25	1	1	0	0	30	1	0.5	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40015	12	2	400	0	1	1	0	0	30	1	0	0	1	0	0.02	0.03	1	1		0	0.7	0, 0.5
40016	10	1	120	0	1	0.85	0	0	30	1	0.7	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.8
40017	20	5	350	0	1	1	0	0	30	1	0	0	0	0	0.01	0.01	1	1		0	0.7	0, 0.5
40018	30	22	300	0	1	1.15	0	0	30	3	1	0	1	0	0.03	0.03	1	1		0	0.7	0, 0.8
40019	12	5	425	0	1	1.1	0	0	30	1	1	0	1	0	0.01	0.01	1	1		0	0.7	0, 0.5
40020	1	750	250	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40021	1	750	200	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
40022	1	700	350	0	1	1.5	0	0	30	10	1	0	1	1	1	1	1	1	1	1	1	0, 0.5
