ID	unlock	value	hasGameplayMod	maxNb	dropType	audio	tags	structure	shopExclude	endlessLimit
int	bool	int	bool	int	int	string	string[]	int	int	int
ID:ItemInfoData										
30001	0	65	0	-1	0		stat_max_hp	0	0	-1
30002	0	80	0	-1	0		stat_max_hp,more_enemy_speed	0	0	-1
30003	0	50	1	-1	0		stat_max_hp	0	0	-1
30004	0	85	0	-1	0		stat_max_hp,stat_hp_regeneration	0	0	-1
30005	0	25	0	-1	0		pickup	0	0	-1
30006	0	15	0	-1	0		stat_max_hp,stat_hp_regeneration	0	0	-1
30007	0	80	0	-1	0		stat_melee_damage,stat_ranged_damage,stat_engineering,stat_crit_chance	0	0	-1
30008	0	120	1	1	0			0	0	1
30009	0	25	1	-1	0		stat_luck,pickup	0	0	-1
30010	0	18	1	5	0		pickup	0	0	5
30011	0	100	1	-1	0		stat_ranged_damage	0	0	-1
30012	0	15	1	-1	0		stat_luck,exploration,economy	0	0	-1
30013	0	75	1	-1	0		stat_ranged_damage	0	0	-1
30014	0	55	0	-1	0		stat_range,stat_attack_speed	0	0	-1
30015	0	75	1	-1	0		stat_armor,stand_still	0	0	-1
30016	0	20	0	-1	0		stat_lifesteal	0	0	-1
30017	0	70	0	-1	0		stat_speed	0	0	-1
30018	0	20	0	-1	0		xp_gain	0	0	-1
30019	1	105	0	-1	0		stat_melee_damage,stat_ranged_damage	0	0	-1
30020	0	50	0	-1	0		stat_melee_damage,xp_gain	0	0	-1
30021	0	45	0	-1	0		stat_crit_chance,stat_dodge	0	0	-1
30022	0	50	1	-1	0		stat_harvesting	0	0	-1
30023	0	45	0	-1	0		stat_lifesteal,stat_hp_regeneration	0	0	-1
30024	0	30	0	-1	0		stat_elemental_damage	0	0	-1
30025	0	8	0	-1	0		stat_engineering	0	0	-1
30026	1	75	0	-1	0		stat_luck,stat_harvesting	0	0	-1
30027	0	15	0	-1	0			0	0	-1
30028	0	25	0	-1	0		stat_max_hp	0	0	-1
30029	0	30	0	-1	0		stat_lifesteal	0	0	-1
30030	0	15	0	-1	0		stat_max_hp	0	0	-1
30031	0	40	0	-1	0		stat_elemental_damage,stat_hp_regeneration	0	0	-1
30032	0	65	1	1	0		stat_elemental_damage,stat_hp_regeneration,less_enemies	0	0	1
30033	0	110	0	-1	0		stat_lifesteal,stat_dodge	0	0	-1
30034	0	70	1	-1	0		stat_dodge,stand_still	0	0	-1
30035	0	20	0	-1	0		stat_elemental_damage,stat_melee_damage	0	0	-1
30036	0	20	0	-1	0		stat_melee_damage,stat_crit_chance	0	0	-1
30037	0	65	0	-1	0		stat_luck,stat_dodge	0	0	-1
30038	0	15	0	-1	0		stat_attack_speed	0	0	-1
30039	0	35	0	-1	0		stat_engineering	0	0	-1
30040	1	75	0	1	0			0	0	1
30041	1	40	0	-1	0		stat_speed,stat_engineering	0	0	-1
30042	0	15	1	5	0		economy	0	0	5
30043	0	70	1	1	0		stat_harvesting	0	0	1
30044	0	25	1	13	0		pickup	0	0	13
30045	0	35	1	-1	0		stat_luck	0	0	-1
30046	0	45	0	-1	0		stat_percent_damage	0	0	-1
30047	0	35	1	3	0		economy	0	0	3
30048	0	20	0	-1	0		stat_max_hp,stat_melee_damage	0	0	-1
30049	0	80	0	-1	0		stat_engineering,xp_gain	0	0	-1
30050	0	25	0	-1	0		stat_armor,stat_engineering	0	0	-1
30051	0	20	0	-1	0		explosive	0	0	-1
30052	0	55	0	-1	0		stat_crit_chance,stat_elemental_damage	0	0	-1
30053	0	100	1	1	0		stat_hp_regeneration,stat_max_hp	0	0	1
30054	0	90	0	-1	0		stat_armor,stat_crit_chance,stat_engineering,stat_speed	0	0	-1
30055	0	110	0	-1	0		explosive	0	0	-1
30056	1	60	0	-1	0		stat_elemental_damage	0	0	-1
30057	0	15	0	-1	0		stat_harvesting	0	0	-1
30058	1	65	0	-1	0		stat_speed,stat_lifesteal	0	0	-1
30059	1	110	1	-1	0		stat_percent_damage	0	0	-1
30060	0	45	0	-1	0		stat_elemental_damage	0	0	-1
30061	0	60	0	-1	0		stat_dodge	0	0	-1
30062	0	30	0	10	0		stat_max_hp,stat_percent_damage,more_enemies	0	0	10
30063	0	75	0	-1	0		stat_range	0	0	-1
30064	0	25	0	-1	0		stat_percent_damage	0	0	-1
30065	1	100	0	-1	0		stat_melee_damage,stat_elemental_damage	0	0	-1
30066	0	25	0	-1	0		stat_melee_damage	0	0	-1
30067	0	100	1	-1	0		stat_max_hp,stat_hp_regeneration,stat_lifesteal	0	0	-1
30068	0	25	0	-1	0		stat_attack_speed,stat_range	0	0	-1
30069	0	80	1	1	0		stat_melee_damage,stat_ranged_damage,stat_elemental_damage	0	0	1
30070	0	25	0	-1	0		stat_percent_damage	0	0	-1
30071	0	100	0	-1	0		stat_ranged_damage,stat_percent_damage,stat_range	0	0	-1
30072	0	30	0	-1	0		stat_melee_damage,stat_ranged_damage	0	0	-1
30073	0	25	0	-1	0		stat_armor	0	0	-1
30074	1	55	1	3	0		stat_crit_chance	0	0	3
30075	0	20	0	-1	0		stat_percent_damage	0	0	-1
30076	0	20	0	-1	0		stat_crit_chance	0	0	-1
30077	0	100	0	-1	0		stat_speed,stat_dodge	0	0	-1
30078	0	15	1	-1	0		stat_engineering,explosive	1	0	-1
30079	0	45	0	-1	0		stat_armor,stat_dodge	0	0	-1
30080	0	15	0	-1	0		stat_luck	0	0	-1
30081	0	20	0	-1	0		stat_ranged_damage	0	0	-1
30082	0	50	0	-1	0		stat_harvesting,pickup	0	0	-1
30083	0	50	0	-1	0		stat_melee_damage,stat_max_hp	0	0	-1
30084	0	25	0	-1	0		stat_luck	0	0	-1
30085	1	75	0	-1	0		stat_luck	0	0	-1
30086	0	15	1	1	0		exploration	0	0	1
30087	0	130	0	-1	0		stat_melee_damage,stat_hp_regeneration	0	0	-1
30088	0	55	0	-1	0		stat_melee_damage	0	0	-1
30089	0	55	0	-1	0		stat_max_hp,stat_percent_damage,stat_armor,stat_speed	0	0	-1
30090	1	95	0	-1	0		stat_hp_regeneration	0	0	-1
30091	0	40	1	20	0		stat_luck,stat_engineering,pickup,economy	0	0	-1
30092	0	40	0	-1	0		stat_armor	0	0	-1
30093	0	45	0	-1	0		stat_percent_damage	0	0	-1
30094	0	55	0	5	0		stat_lifesteal,more_enemies	0	0	-1
30095	0	25	0	-1	0		stat_hp_regeneration	0	0	-1
30096	0	25	0	-1	0		stat_ranged_damage,stat_elemental_damage	0	0	-1
30097	1	90	0	-1	0		stat_crit_chance,stat_range	0	0	-1
30098	1	105	0	-1	0		stat_max_hp,stat_lifesteal	0	0	-1
30099	1	45	1	3	0		saving	0	0	3
30100	1	100	0	-1	0		stat_max_hp,stat_luck	0	0	-1
30101	0	18	0	-1	0		stat_dodge,stat_harvesting	0	0	-1
30102	0	15	0	-1	0		stat_engineering	0	0	-1
30103	0	40	1	1	0		saving	0	0	1
30104	0	10	0	-1	0		stat_hp_regeneration	0	0	-1
30105	0	60	0	-1	0		explosive	0	0	-1
30106	0	80	0	-1	0		stat_attack_speed,stat_crit_chance,stat_range	0	0	-1
30107	1	95	0	-1	0		stat_max_hp,stat_hp_regeneration,stat_percent_damage,stat_speed,stat_luck	0	0	-1
30108	0	90	1	1	0		stat_hp_regeneration	0	0	1
30109	0	65	1	1	0		stat_speed	0	0	1
30110	0	28	0	-1	0		stat_luck	0	0	-1
30111	0	40	0	-1	0		stat_ranged_damage	0	0	-1
30112	0	35	1	1	0		economy	0	0	1
30113	0	100	1	1	0		stat_dodge	0	0	1
30114	0	110	1	-1	0		stat_ranged_damage	0	0	-1
30115	0	65	0	5	0		stat_melee_damage,explosive	0	0	5
30116	1	60	0	-1	0		stat_percent_damage,stat_lifesteal	0	0	-1
30117	1	90	0	-1	0		stat_armor,stat_engineering	0	0	-1
30118	0	50	1	1	0		stat_hp_regeneration	0	0	1
30119	0	30	0	-1	0		xp_gain	0	0	-1
30120	0	25	1	4	0		stat_elemental_damage	0	0	4
