ID	goods	type	buyNum	refreshType	cd	priceType	price	purchaseAndroid	purchaseIOS	isOpen	order	isNet	discount
int	int	int	int	int	int	int	int	string	string	int	int	bool	int
编号													
1	61001	0	-1	1	0	1	1			0	0		0
2	62001	0	1	1	0	60001	100			1	2		0
3	63003	0	1	1	0	60001	50			1	3		0
4	63002	0	1	1	0	60001	12			1	4		0
5	63002	0	1	1	0	60001	12			1	5		0
6	63001	0	1	1	0	60001	1			1	6		0
7	63001	0	1	1	0	60001	1			1	7		0
8	64001	1	1	0	0	0	99	level_0_potato_parcels	new_level_0_potato_parcels	0	5		0
9	64002	1	1	0	0	0	99	level_1_potato_parcels	new_level_1_potato_parcels	0	6		0
10	64003	1	1	0	0	0	99	level_2_potato_parcels	new_level_2_potato_parcels	0	7		0
11	64004	1	1	0	0	0	99	level_3_potato_parcels	new_level_3_potato_parcels	0	8		0
12	64005	1	1	0	0	0	99	level_4_potato_parcels	new_level_4_potato_parcels	0	9		0
13	64006	1	1	0	0	0	99	level_5_potato_parcels	new_level_5_potato_parcels	0	10		0
14	65001	3	20	1	0	1	1			1	0		0
15	65002	3	0	0	0	0	99	spuds_30	spuds_30	1	0		0
16	65003	3	0	0	0	0	499	spuds_170	spuds_170	1	0		0
17	65004	3	0	0	0	0	999	spuds_380	spuds_380	1	0		0
18	65005	3	0	0	0	0	1999	spuds_900	spuds_900	1	0		0
19	65006	3	0	0	0	0	4999	spuds_2650	spuds_2650	1	0		0
20	66001	10	0	0	604800	0	99	weekly_vip	new_weekly_vip	1	0		0
21	66001	10	0	0	2592000	0	199	monthly_vip	new_month_vip	1	0		0
22	66001	10	0	0	2592000	0	99	monthly_vip_sales	new_month_vip_sales	1	0		0
23	66001	10	1	0	0	0	499	permanent_vip	new_permanent_vip	1	0		0
24	66001	10	1	0	0	0	399	permanent_vip_sales	new_permanent_vip_sales	1	0		0
25	66001	10	1	0	0	0	299	permanent_vip_sales2	new_permanent_vip_sales2	1	0		0
26	66001	10	1	0	3600	60001	0			1	0		0
27	66002	10	1	1	0	60001	0			1	0		0
28	67001	2	1	0	0	60001	30			1	0		0
29	67002	2	1	0	0	60001	30			1	0		0
30	67003	2	1	0	0	60001	60			1	0		0
31	67004	2	1	0	0	60001	60			1	0		0
32	67005	2	1	0	0	60001	90			1	0		0
33	67006	2	1	0	0	60001	90			1	0		0
34	67007	2	1	0	0	60001	90			1	0		0
