ID	BuffID	Name	Value	Exclusive	Tag	Stat
int	string	LocalStr	string	int	int[]	int
索引						
100001	3000,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	0	1	11
100002	3002,{0}	TALENT_CARD_DESC	5&10&15&20&25&30&35&40&45&50	0	2,3,4	7
100003	3003,{0}	TALENT_CARD_DESC	3&5&7&9&11&13&15&17&19&21	0	2,3	8
100005	3001,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	0	2,3,4,5	3
100006	3008,{0}	TALENT_CARD_DESC	3&6&9&12&15&18&21&24&27&30	0	1	12
100007	3010,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	0	4	6
100008	3013,{0}	TALENT_CARD_DESC	2&3&4&5&6&7&8&9&10&11	0	5	9
100009	3014,{0}	TALENT_CARD_DESC	5&7&9&11&13&15&17&19&21&23	0	1	15
100010	3005,{0}	TALENT_CARD_DESC	3&6&9&12&15&18&21&24&27&30	0	1	0
100011	3006,{0}	TALENT_CARD_DESC	2&3&4&5&6&7&8&9&10&11	0	1	1
100012	3007,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	0	1	2
100013	3012,{0}	TALENT_CARD_DESC	5&10&15&20&25&30&35&40&45&50	0	1	14
100014	3009,{0}	TALENT_CARD_DESC	2&4&6&8&10&12&14&16&18&20	0	3	4
100015	3016,{0}	TALENT_CARD_DESC	15&30&45&60&75&90&115&130&145&150	0	2,3,4	10
100016	3011,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	0	2	5
100017	3015,{0}	TALENT_CARD_DESC	3&6&9&12&15&18&21&24&27&30	0	1	13
100018	3017,3000,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	1	1	0
100019	3018,3002,{0}	TALENT_CARD_DESC	5&10&15&20&25&30&35&40&45&50	1	1	0
100021	3038,{0}	TALENT_CARD_DESC	10&20&30&40&50&60&70&80&90&100	1	1	0
100022	3021,3001,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	1	1	0
100023	3022,3008,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	1	1	0
100024	3023,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	1	1	0
100025	{0}	TALENT_CARD_DESC	1017,3031#3041,10,218,80&1017,3032#3042,20,218,80&1017,3033#1016,100,3043,5,8,218,33&1017,3034#1016,100,3044,10,8,218,33&1017,3035#3045,3,218,5&1017,3036#3046,6,218,5&1017,3037#3047,20,218,125&1017,3038#3048,40,218,125&1017,3039#3049,25,218,150&1017,3040#3050,50,218,150	1	1	0
100026	3037,{0}	TALENT_CARD_DESC	5&7&9&11&13&15&17&19&21&23	1	1	0
100027	3021,3005,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	1	1	0
100028	3035,{0}	TALENT_CARD_DESC	10&20&30&40&50&60&70&80&90&100	1	1	0
100029	3019,{0},3014,{1},3007#3051,{2},3012,{3},3007	TALENT_CARD_DESC	-1,1,1,1&-1,1,2,1&-1,1,3,1&-1,1,4,1&-1,1,5,1&-1,1,6,1&-1,1,7,1&-1,1,8,1&-1,1,9,1&-1,1,10,1	1	1	0
100030	3031,3020,{0},{1},217,{2}	TALENT_CARD_DESC	50,5,5&55,6,6&60,7,7&65,8,8&70,9,9&75,10,10&80,11,11&85,12,12&85,13,13&90,15,15	1	1	0
100031	3019,{0},3015,{1},3009#3051,{2},3002,{3},3009	TALENT_CARD_DESC	-1,1,1,1&-1,1,2,1&-1,1,3,1&-1,1,4,1&-1,1,5,1&-1,1,6,1&-1,1,7,1&-1,1,8,1&-1,1,9,1&-1,1,10,1	1	1	0
100032	3019,{0},3015,{1},3016#3051,{2},3003,{3},3016	TALENT_CARD_DESC	-1,10,1,10&-1,10,2,10&-1,10,3,10&-1,10,4,10&-1,10,5,10&-1,10,6,10&-1,10,7,10&-1,10,8,10&-1,10,9,10&-1,10,10,10	1	1	0
100033	3022,3001,{0}	TALENT_CARD_DESC	1&2&3&4&5&6&7&8&9&10	1	2,3,4,5	0
100034	3033,{0}	TALENT_CARD_DESC	-2&-4&-6&-8&-10&-12&-14&-16&-18&-20	1	1	0
