ID	Name	Type	Condition	Target	Reward	JumpTo
int	LocalStr	int	int	int	DropArray	int[]
ID						
1	TASK_NAME_1	0	1	1	60001,2	
2	TASK_NAME_3	0	3	1	60001,10#60002,2	11
3	TASK_NAME_10	0	10	10	60001,10	5
4	TASK_NAME_10	0	10	50	60001,10	5
5	TASK_NAME_10	0	10	100	60001,20	5
6	TASK_NAME_6	0	6	5	60001,5#60002,1	11
7	TASK_NAME_6	0	6	10	60001,10#60002,2	11
8	TASK_NAME_6	0	6	20	60001,20#60002,3	11
9	TASK_NAME_5	0	5	2	60001,5#60002,1	11
10	TASK_NAME_5	0	5	5	60001,10#60002,2	11
11	TASK_NAME_3	0	3	3	60001,10#60002,2	11
12	TASK_NAME_3	0	3	10	60001,10#60002,2#68002,5	11
13	TASK_NAME_9	0	9	1	60001,10#60002,2#63001,1	7
14	TASK_NAME_9	0	9	3	60001,10#60002,3#63002,1	7
15	TASK_NAME_11	0	11	3	60001,5	5,3
16	TASK_NAME_11	0	11	10	60001,10	5,3
17	TASK_NAME_11	0	11	50	60001,20#60002,2	5,3
18	TASK_NAME_3	1	3	20	60001,50#60002,5#68002,10	11
19	TASK_NAME_3	1	3	50	60001,150#60002,10#68002,30	11
20	TASK_NAME_11	1	11	100	68002,10	5,3
21	TASK_NAME_11	1	11	200	68002,30	5,3
22	TASK_NAME_12	2	12	1	68002,10#60002,5	5,1
23	TASK_NAME_12	2	12	5	68002,30#60002,10	5,1
24	TASK_NAME_7	2	7	1	60001,5	5,2
25	TASK_NAME_7	2	7	3	60001,10	5,2
26	TASK_NAME_7	2	7	5	60001,20	5,2
27	TASK_NAME_7	2	7	10	60001,30	5,2
28	TASK_NAME_7	2	7	20	60001,50	5,2
29	TASK_NAME_7	2	7	29	60001,10#68002,10#63003,1	5,2
30	TASK_NAME_13	2	13	1	68003,1	4
31	TASK_NAME_8	2	8	4	68002,5#60002,2	10
32	TASK_NAME_8	2	8	8	68002,10#60002,5	10
33	TASK_NAME_4	2	4	10	60001,15#60002,2	11
34	TASK_NAME_4	2	4	15	60001,20#60002,3	11
35	TASK_NAME_4	2	4	20	60001,25#60002,4	11
36	TASK_NAME_4	2	4	25	60001,30#60002,5	11
37	TASK_NAME_2	2	2	10	60001,50#60002,2	
38	TASK_NAME_2	2	2	20	60001,100#60002,5	
39	TASK_NAME_2	2	2	30	60001,200#60002,10#68003,1	
40		3	14	1	60001,5	
41		3	14	5	60001,10	
42		3	14	9	60001,15	
43		3	14	13	60001,20	
