ID	Exp	SpecialCost	ItemID	Buff
int	int	int	int	BuffExcelList
ID				
1	20	0	39006	5001,23#5002,15#5003,15#5004,15#5005,8#5006,15
2	40	0	39006	5001,32#5002,21#5003,21#5004,21#5005,11#5006,21
3	60	0	39006	5001,39#5002,26#5003,26#5004,26#5005,13#5006,26
4	100	0	39006	5001,42#5002,28#5003,28#5004,28#5005,14#5006,28
5	140	1	39006	5001,106#5002,71#5003,71#5004,71#5005,35#5006,71
6	200	0	39007	5001,141#5002,94#5003,94#5004,94#5005,47#5006,94
7	300	0	39007	5001,158#5002,105#5003,105#5004,105#5005,53#5006,105
8	400	0	39007	5001,176#5002,117#5003,117#5004,117#5005,59#5006,117
9	500	0	39007	5001,190#5002,127#5003,127#5004,127#5005,63#5006,127
10	600	5	39007	5001,254#5002,170#5003,170#5004,170#5005,85#5006,170
11	800	0	39008	5001,353#5002,235#5003,235#5004,235#5005,118#5006,235
12	1000	0	39008	5001,373#5002,248#5003,248#5004,248#5005,124#5006,248
13	1200	0	39008	5001,391#5002,261#5003,261#5004,261#5005,130#5006,261
14	1400	0	39008	5001,408#5002,272#5003,272#5004,272#5005,136#5006,272
15	1600	15	39008	5001,539#5002,359#5003,359#5004,359#5005,180#5006,359
16	2000	0	39009	5001,872#5002,582#5003,582#5004,582#5005,291#5006,582
17	2400	0	39009	5001,894#5002,596#5003,596#5004,596#5005,298#5006,596
18	2800	0	39009	5001,914#5002,610#5003,610#5004,610#5005,305#5006,610
19	3200	0	39009	5001,933#5002,622#5003,622#5004,622#5005,311#5006,622
20	3600	30	39009	5001,1197#5002,798#5003,798#5004,798#5005,399#5006,798
21	4000	0	39010	5001,1783#5002,1189#5003,1189#5004,1189#5005,594#5006,1189
22	4800	0	39010	5001,1805#5002,1203#5003,1203#5004,1203#5005,602#5006,1203
23	5600	0	39010	5001,1824#5002,1216#5003,1216#5004,1216#5005,608#5006,1216
24	6400	0	39010	5001,1842#5002,1228#5003,1228#5004,1228#5005,614#5006,1228
25	7200	50	39010	5001,2466#5002,1644#5003,1644#5004,1644#5005,822#5006,1644
