ID	Title	TitleNum	Desc	DescParam	Icon	Condition	Value	ValueExtra	RewardID	IsDisplay	eChannel	Order	AdUnlock
int	LocalStr	int	LocalStr	string	string	int	int	int[]	int	int	int[]	int	int
													
1	DIFFICULTY_NB	0	CHAL_DIFFICULTY_DESC	TITLENUM	diff_0	1	1		10028	0	0,1,4,5,6,7,8,9	1	2
2	DIFFICULTY_NB	1	CHAL_DIFFICULTY_DESC	TITLENUM	diff_1	2	1		10029	0	0,1,4,5,6,7,8,9	2	2
3	DIFFICULTY_NB	2	CHAL_DIFFICULTY_DESC	TITLENUM	diff_2	3	1		10030	0	0,1,4,5,6,7,8,9	3	2
4	DIFFICULTY_NB	3	CHAL_DIFFICULTY_DESC	TITLENUM	diff_3	4	1		10031	0	0,1,4,5,6,7,8,9	4	2
5	DIFFICULTY_NB	4	CHAL_DIFFICULTY_DESC	TITLENUM	diff_4	5	1		10032	0	0,1,4,5,6,7,8,9	5	2
6	DIFFICULTY_NB	5	CHAL_DIFFICULTY_DESC	TITLENUM	diff_5	6	1		10033	0	0,1,4,5,6,7,8,9	6	2
7	CHAL_SURVIVOR	1	CHAL_SURVIVOR_DESC	VALUE	scar_icon	7	300		10006	1	0,1,4,5,6,7,8,9	7	2
8	CHAL_SURVIVOR	2	CHAL_SURVIVOR_DESC	VALUE	scar_icon	7	2000		10008	1	0,1,4,5,6,7,8,9	8	2
9	CHAL_SURVIVOR	3	CHAL_SURVIVOR_DESC	VALUE	scar_icon	7	5000		10010	1	0,1,4,5,6,7,8,9	9	2
10	CHAL_SURVIVOR	4	CHAL_SURVIVOR_DESC	VALUE	scar_icon	7	10000		10012	1	0,1,4,5,6,7,8,9	10	2
11	CHAL_SURVIVOR	5	CHAL_SURVIVOR_DESC	VALUE	scar_icon	7	20000		10014	1	0,1,4,5,6,7,8,9	11	2
12	CHAL_GATHERER	1	CHAL_GATHERER_DESC	VALUE	alien_tongue_icon	8	300		10007	1	0,1,4,5,6,7,8,9	12	2
13	CHAL_GATHERER	2	CHAL_GATHERER_DESC	VALUE	alien_tongue_icon	8	2000		10009	1	0,1,4,5,6,7,8,9	13	2
14	CHAL_GATHERER	3	CHAL_GATHERER_DESC	VALUE	alien_tongue_icon	8	5000		10011	1	0,1,4,5,6,7,8,9	14	2
15	CHAL_GATHERER	4	CHAL_GATHERER_DESC	VALUE	alien_tongue_icon	8	10000		10013	1	0,1,4,5,6,7,8,9	15	2
16	CHAL_GATHERER	5	CHAL_GATHERER_DESC	VALUE	alien_tongue_icon	8	20000		10015	1	0,1,6,7,8	16	2
17	CHAL_ROOKIE	0	CHAL_ROOKIE_DESC	VALUE	baby_elephant_icon	9	1		10005	1	0,1,4,5,6,7,8,9	17	2
