ID	unlock	type	dType	atkSpeed	value	hasGameplayMod	cd	damage	accuracy	critChance	critDamage	minRange	maxRange	knockback	effectScale	lifeSteal	isHealing	recoil	recoilDuration	nbProject	projectSpread	piercing	piercingDmg	bounce	bounceDmg	projectSpeed	increaseProjectSpeed	dealDmgReturn	attackType	per_melee	per_ranged_dmg	per_elemental	per_engineering	per_maxhp	per_armor	per_range	per_speed	per_attackspeed	per_lv	explosion_size	structure	capacity	fillingCd	fillingIcon
int	int	int[]	int	float	int	bool	int	int	float	float	float	int	int	int	float	float	bool	int	float	int	float	int	float	int	float	int	bool	bool	int	int	int	int	int	int	int	int	int	int	int	float	int	int	int	string
ID:ItemInfoData																																												
20001	0	2,3	1	1	20	0	63	10	1	0.03	2	0	200	8	1	0	0	25	0.1	0		0		0		0		0	2	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20002	0	2,3	1	1	39	0	58	20	1	0.03	2	0	200	8	1	0	0	25	0.1	0		0		0		0		0	2	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20003	0	2,3	1	1	74	0	54	30	1	0.03	2	0	200	8	1	0	0	25	0.1	0		0		0		0		0	2	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20004	0	2,3	1	1	149	0	45	50	1	0.03	2	0	200	8	1	0	0	25	0.1	0		0		0		0		0	2	80	0	0	0	0	0	0	0	0	0		0	-1	0	
20011	0	12	1	1	15	0	27	6	1	0.1	2	0	125	2	1	0	0	25	0.1	0		0		0		0		0	2	50	0	0	0	20	0	0	0	0	0		0	-1	0	
20012	0	12	1	1	31	0	25	12	1	0.15	2	0	135	2	1	0	0	25	0.1	0		0		0		0		0	2	50	0	0	0	20	0	0	0	0	0		0	-1	0	
20013	0	12	1	1	61	0	23	18	1	0.2	2	0	150	2	1	0	0	25	0.1	0		0		0		0		0	2	50	0	0	0	20	0	0	0	0	0		0	-1	0	
20014	0	12	1	1	122	0	18	30	1	0.2	2	0	180	2	1	0	0	25	0.1	0		0		0		0		0	2	50	0	0	0	20	0	0	0	0	0		0	-1	0	
20022	1	12,9	1	1	46	0	8	10	1	0.05	2	0	175	0	1	0.45	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20023	1	12,9	1	1	86	0	5	15	1	0.1	2	0	175	0	1	0.5	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20024	1	12,9	1	1	173	0	2	25	1	0.2	2	0	175	0	1	0.6	0	25	0.1	0		0		0		0		0	2	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20031	0	6	1	1	12	0	27	6	1	0.2	2	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20032	0	6	1	1	26	0	22	12	1	0.25	2	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20033	0	6	1	1	52	0	18	18	1	0.3	2	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20034	0	6	1	1	105	0	10	30	1	0.4	2	0	150	2	1	0	0	25	0.1	0		0		0		0		0	1	50	0	0	0	0	0	0	0	0	0		0	-1	0	
20041	0	5	1	1	10	0	13	8	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20042	0	5	1	1	22	0	10	16	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20043	0	5	1	1	45	0	8	32	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
20044	0	5	1	1	91	0	2	64	1	0.01	1.5	0	150	15	1	0	0	25	0.1	0		0		0		0		0	1	100	0	0	0	0	0	0	0	0	0		0	-1	0	
