ID	type	num	buffs
int	int	int	BuffExcelList
ID			
1	1	2	216,10
2	1	3	216,20
3	1	4	216,30
4	1	5	216,40
5	1	6	216,50
6	2	2	201,3
7	2	3	201,6
8	2	4	201,9
9	2	5	201,12
10	2	6	201,15
11	3	2	200,5
12	3	3	200,10
13	3	4	200,15
14	3	5	200,20
15	3	6	200,25
16	4	2	211,1
17	4	3	211,2
18	4	4	211,3
19	4	5	211,4
20	4	6	211,5
21	5	2	207,3
22	5	3	207,6
23	5	4	207,9
24	5	5	207,12
25	5	6	207,15
26	6	2	213,3
27	6	3	213,6
28	6	4	213,9
29	6	5	213,12
30	6	6	213,15
31	7	2	208,1#204,-2
32	7	3	208,1#201,3#204,-4
33	7	4	208,2#201,3#204,-6
34	7	5	208,2#201,6#204,-8
35	7	6	208,3#201,6#204,-10
36	8	2	219,5
37	8	3	219,10
38	8	4	219,15
39	8	5	219,20
40	8	6	219,25
41	9	2	205,1
42	9	3	205,2
43	9	4	205,3
44	9	5	205,4
45	9	6	205,5
46	10	2	218,1
47	10	3	218,2
48	10	4	218,3
49	10	5	218,4
50	10	6	218,5
51	11	2	1002,5
52	11	3	1002,10
53	11	4	1002,15
54	11	5	1002,20
55	11	6	1002,25
56	12	2	210,1#206,1
57	12	3	210,2#206,2
58	12	4	210,3#206,3
59	12	5	210,4#206,4
60	12	6	210,5#206,5
61	13	2	208,1
62	13	3	208,1#207,3
63	13	4	208,2#207,3
64	13	5	208,2#207,6
65	13	6	208,3#207,6
66	14	2	207,6#208,-1
67	14	3	207,12#208,-2
68	14	4	207,18#208,-3
69	14	5	207,24#208,-4
70	14	6	207,30#208,-5
71	15	2	201,-20
72	15	3	201,-40
73	15	4	201,-60
74	15	5	201,-80
75	15	6	201,-100
